%OpenBCI Raw EEG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Timestamp (Formatted)
254.0, 4563.5107421875, 15832.4326171875, 29424.974609375, 8586.6904296875, 7212.3935546875, 17868.677734375, 4112.5869140625, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503582804E9, 2020-08-18 08:47:30.358
255.0, 4565.8798828125, 15833.1708984375, 29431.94921875, 8601.3759765625, 7218.6298828125, 17875.025390625, 4119.60498046875, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503582847E9, 2020-08-18 08:47:30.358
0.0, 4564.40478515625, 15830.1083984375, 29430.96484375, 8610.71875, 7217.66845703125, 17881.505859375, 4122.66748046875, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503582888E9, 2020-08-18 08:47:30.358
1.0, 4564.9638671875, 15827.0009765625, 29428.73046875, 8604.236328125, 7209.89013671875, 17876.947265625, 4118.59912109375, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503582933E9, 2020-08-18 08:47:30.358
2.0, 4569.43408203125, 15828.3427734375, 29431.322265625, 8598.291015625, 7209.9794921875, 17872.69921875, 4118.86767578125, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503582973E9, 2020-08-18 08:47:30.358
3.0, 4565.83544921875, 15827.91796875, 29438.54296875, 8607.90234375, 7215.50048828125, 17874.30859375, 4118.21923828125, 0.0, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503583016E9, 2020-08-18 08:47:30.358
4.0, 4570.529296875, 15834.9365234375, 29445.3828125, 8620.5537109375, 7227.5927734375, 17887.49609375, 4123.85205078125, 0.0, 0.12600000202655792, -0.05000000074505806, 0.9960000514984131, 192.0, 3.0, 240.0, 254.0, 112.0, 31.0, 32.0, 0.0, 0.0, 0.0, 1.5977656503583057E9, 2020-08-18 08:47:30.358
5.0, 4572.6748046875, 15834.66796875, 29442.587890625, 8610.3837890625, 7220.46240234375, 17882.802734375, 4122.80126953125, 0.0, 0.12600000202655792, -0.05000000074505806, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5977656503583095E9, 2020-08-18 08:47:30.358
6.0, 4560.78369140625, 15822.7099609375, 29424.283203125, 8599.6767578125, 7203.94482421875, 17865.994140625, 4112.29638671875, 0.0, 0.12600000202655792, -0.05000000074505806, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358314E9, 2020-08-18 08:47:30.358
7.0, 4561.56640625, 15825.2578125, 29427.142578125, 8606.896484375, 7209.30908203125, 17871.873046875, 4117.9287109375, 0.0, 0.12600000202655792, -0.05000000074505806, 0.9960000514984131, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.597765650358318E9, 2020-08-18 08:47:30.358
